name,price
"MOTOROLA Edge 50 (Jungle Green, 256 GB)","₹26,999"
"MOTOROLA Edge 50 (Peach Fuzz, 256 GB)","₹26,999"
"MOTOROLA Edge 50 (Koala Grey, 256 GB)","₹26,999"
"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹27,999"
"Motorola Edge 50 Pro 5G with 68W Charger (Black Beauty, 256 GB)","₹27,999"
"Motorola Edge 40 (Nebula Green, 256 GB)","₹26,999"
"Motorola Edge 30 (Aurora Green, 128 GB)","₹26,999"
"Motorola Edge 50 Pro 5G with 68W Charger (Moonlight Pearl, 256 GB)","₹27,999"
"MOTOROLA g82 5G (White Lily, 128 GB)","₹25,999"
"Motorola Edge 30 (Meteor Grey, 128 GB)","₹34,999"
"MOTOROLA g82 5G (Meterorite Grey, 128 GB)","₹25,999"
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999"
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999"
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹24,999"
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)","₹22,999"
"Motorola Edge 50 Fusion (Forest Blue, 128 GB)","₹22,999"
"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹24,999"
"Motorola Edge 50 Fusion (Forest Green, 256 GB)","₹24,999"
"Motorola Edge 50 Fusion (Forest Green, 128 GB)","₹22,999"
"Motorola Edge 50 Neo (PANTONE Nautical Blue, 256 GB)","₹21,999"
"Motorola G85 5G (Viva Magenta, 256 GB)","₹19,999"
"Motorola Edge 50 Neo (PANTONE Latte, 256 GB)","₹21,999"
"Motorola Edge 50 Neo (PANTONE Poinciana, 256 GB)","₹21,999"
"Motorola Edge 50 Neo (PANTONE Grisaille, 256 GB)","₹21,999"
N/A,N/A
N/A,N/A
"Motorola G62 5G (Frosted Blue, 128 GB)","₹21,999"
"Motorola Edge 40 Neo (Soothing Sea, 128 GB)","₹22,999"
"Motorola Edge 40 Neo (Peach Fuzz, 128 GB)","₹22,999"
"Motorola G62 5G (Frosted Blue, 128 GB)","₹24,999"
"Motorola G62 5G (Midnight Gray, 128 GB)","₹21,999"
"Motorola G62 5G (Midnight Gray, 128 GB)","₹24,999"
"Motorola g73 5G (Lucent White, 128 GB)","₹21,999"
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999"
"Motorola Edge 40 Neo (Caneel Bay, 128 GB)","₹22,999"
"Motorola Edge 40 Neo (Black Beauty, 256 GB)","₹24,999"
"Motorola edge 30 (Meteor Grey, 128 GB)","₹24,999"
"Motorola g72 (Meteorite Grey, 128 GB)","₹21,999"
"Motorola g72 (Polar Blue, 128 GB)","₹16,999"
"Motorola g73 5G (Midnight Blue, 128 GB)","₹21,999"
"Motorola Edge 40 Neo (Peach Fuzz, 256 GB)","₹24,999"
"Motorola edge 30 (Aurora Green, 128 GB)","₹24,999"
"MOTOROLA g82 5G(White Lily, 128 GB)","₹23,999"
"Motorola Edge 40 Neo (Caneel Bay, 256 GB)","₹24,999"
"Motorola Edge 50 Pro 5G with 125W Charger (Caneel Bay, 256 GB)","₹31,999"
"Motorola Edge 50 Pro 5G with 125W Charger (Luxe Lavender, 256 GB)","₹31,999"
"Motorola Edge 50 Pro 5G with 125W Charger (Vanilla Cream, 256 GB)","₹31,999"
"Motorola Edge 50 Pro 5G with 125W Charger (Black Beauty, 256 GB)","₹31,999"
"Motorola Edge 50 Pro 5G with 125W Charger (Moonlight Pearl, 256 GB)","₹31,999"
"Motorola Edge 30 Pro (Stardust White, 128 GB)","₹34,999"
N/A,N/A
