date,open,high,low,close,adj_close,volume
"Dec 2, 2024","24,140.85","24,182.60","24,008.65","24,167.05","24,167.05",-
"Nov 29, 2024","23,927.15","24,188.45","23,927.15","24,131.10","24,131.10","282,100"
"Nov 28, 2024","24,274.15","24,345.75","23,873.35","23,914.15","23,914.15","366,700"
"Nov 27, 2024","24,204.80","24,354.55","24,145.65","24,274.90","24,274.90","295,000"
"Nov 26, 2024","24,343.30","24,343.30","24,125.40","24,194.50","24,194.50","230,700"
"Nov 25, 2024","24,253.55","24,351.55","24,135.45","24,221.90","24,221.90","687,200"
"Nov 22, 2024","23,411.80","23,956.10","23,359.00","23,907.25","23,907.25","367,600"
"Nov 21, 2024","23,488.45","23,507.30","23,263.15","23,349.90","23,349.90","420,300"
"Nov 19, 2024","23,529.55","23,780.65","23,464.80","23,518.50","23,518.50","297,500"
"Nov 18, 2024","23,605.30","23,606.80","23,350.40","23,453.80","23,453.80","263,300"
"Nov 14, 2024","23,542.15","23,675.90","23,484.15","23,532.70","23,532.70","257,700"
"Nov 13, 2024","23,822.45","23,873.60","23,509.60","23,559.05","23,559.05","304,600"
"Nov 12, 2024","24,225.80","24,242.00","23,839.15","23,883.45","23,883.45","255,800"
"Nov 11, 2024","24,087.25","24,336.80","24,004.60","24,141.30","24,141.30","273,400"
"Nov 8, 2024","24,207.70","24,276.15","24,066.65","24,148.20","24,148.20","298,700"
"Nov 7, 2024","24,489.60","24,503.35","24,179.05","24,199.35","24,199.35","322,200"
"Nov 6, 2024","24,308.75","24,537.60","24,204.05","24,484.05","24,484.05","351,100"
"Nov 5, 2024","23,916.50","24,229.05","23,842.75","24,213.30","24,213.30","289,500"
"Nov 4, 2024","24,315.75","24,316.75","23,816.15","23,995.35","23,995.35","285,500"
"Nov 1, 2024","24,302.75","24,368.25","24,280.20","24,304.35","24,304.35","38,800"
"Oct 31, 2024","24,349.85","24,372.45","24,172.60","24,205.35","24,205.35","287,000"
"Oct 30, 2024","24,371.45","24,498.20","24,307.30","24,340.85","24,340.85","285,200"
"Oct 29, 2024","24,328.85","24,484.50","24,140.85","24,466.85","24,466.85","332,000"
"Oct 28, 2024","24,251.10","24,492.60","24,134.90","24,339.15","24,339.15","278,600"
"Oct 25, 2024","24,418.05","24,440.25","24,073.90","24,180.80","24,180.80","372,600"
"Oct 24, 2024","24,412.70","24,480.65","24,341.20","24,399.40","24,399.40","216,700"
"Oct 23, 2024","24,378.15","24,604.25","24,378.10","24,435.50","24,435.50","284,600"
"Oct 22, 2024","24,798.65","24,882.00","24,445.80","24,472.10","24,472.10","279,500"
"Oct 21, 2024","24,956.15","24,978.30","24,679.60","24,781.10","24,781.10","242,000"
"Oct 18, 2024","24,664.95","24,886.20","24,567.65","24,854.05","24,854.05","290,900"
"Oct 17, 2024","25,027.40","25,029.50","24,728.90","24,749.85","24,749.85","252,800"
"Oct 16, 2024","25,008.55","25,093.40","24,908.45","24,971.30","24,971.30","226,800"
"Oct 15, 2024","25,186.30","25,212.05","25,008.15","25,057.35","25,057.35","257,200"
"Oct 14, 2024","25,023.45","25,159.75","25,017.50","25,127.95","25,127.95","206,400"
"Oct 11, 2024","24,985.30","25,028.65","24,920.05","24,964.25","24,964.25","210,500"
"Oct 10, 2024","25,067.05","25,134.05","24,979.40","24,998.45","24,998.45","261,400"
"Oct 9, 2024","25,065.80","25,234.05","24,947.70","24,981.95","24,981.95","290,600"
"Oct 8, 2024","24,832.20","25,044.00","24,756.80","25,013.15","25,013.15","333,200"
"Oct 7, 2024","25,084.10","25,143.00","24,694.35","24,795.75","24,795.75","374,300"
"Oct 4, 2024","25,181.90","25,485.05","24,966.80","25,014.60","25,014.60","374,900"
"Oct 3, 2024","25,452.85","25,639.45","25,230.30","25,250.10","25,250.10","423,400"
"Oct 1, 2024","25,788.45","25,907.60","25,739.20","25,796.90","25,796.90","247,400"
"Sep 30, 2024","26,061.30","26,134.70","25,794.10","25,810.85","25,810.85","343,100"
"Sep 27, 2024","26,248.25","26,277.35","26,151.40","26,178.95","26,178.95","490,300"
"Sep 26, 2024","26,005.40","26,250.90","25,998.40","26,216.05","26,216.05","370,900"
"Sep 25, 2024","25,899.45","26,032.80","25,871.35","26,004.15","26,004.15","278,500"
"Sep 24, 2024","25,921.45","26,011.55","25,886.85","25,940.40","25,940.40","384,100"
